"review_movie_title","review_movie_title_url","review_name","review_url","review_comment","review_username","review_username_url","review_date","review_rating"
"","","20 years on from release, some random thoughts on revisiting The Matrix. Spoiler: It's still brilliant.","https://www.imdb.com/review/rw4679368/?ref_=tt_urv","20 years after its release, and several years since I last saw it, some reflections on the experience of rewatching The Matrix. In no particular order ...
1) It still look great. I mean, this is one amazing, stylish looking phone. Very little about the look of the film has dated - the mobile phones, obviously, Neo's computer, and very briefly a couple of visual effects creak. But otherwise, this looks as amazing at it did on release. It's sumptuous.
2) I think I was one of the many who misjudged Keanu Reeves all those yeas ago. I made easy jokes about his vacant stare and apparent intelligent. From this vantage point we can see he's been in a good number of successful, intelligent films. It's also become clear that within the industry he as a reputation as decent, hardworking man who is a pleasure to work with.
3) It's apparent again how literate and cine-literate the film is. I knew this 20 years ago, but since then I've seen a lot more films and read a lot more books, and this time around I especially loved the way the film nods its head to other film genres and influences. I noticed a lot of Peckinpah, and did I see a nod to Kurosawa there too? And I was reminded that for an English Literature graduate like me, this is a goldmine of quotes, allusions and references.
4) Seen 20 years on, its influence on cinema since is clear. There's a lot we could talk about here, but I was especially struck by how indebted a director like Christopher Nolan is (keeper of the flame of intelligent blockbusters), especially with Inception.
5) I'd forgotten that the narrative ostensibly maintains uncertainty about Neo's identity until just before the end. I'm not sure this really works - anyone who's read many books or ever done an anagram will not find that the most suspenseful part of the narrative.
6) Despite a run time of 2 and a quarter hours, it never flags and attention never wonders. The film fizzes with kinetic energy and the time flies by. It's a lean film, without a wasted moment.
7) The film is, of course, packed with religious allusions. When I wrote a chapter on this for my BA Theology dissertation, I said I thought the film was neo-Bhuddist (forgive the pun, please), and I stand by that on rewatching. Of course, there's lots of allusions to Christian and other theology, and The Matrix spawned some really bad reading of film by Christians which has never really stopped. When will some Christians learn to read a film/book etc with integrity and understanding of what the film is trying to do? It's a spiritually confused mish-mash of a film - but still a gloriously entertaining one.
8) All these years later, it turns out The Matrix was somewhat prophetic about the role technology would play in our lives. Humans permanently plugged in to networks? Different layers of reality that are somehow more real than what we think of as real? The Wachowskis saw all that and more coming 20 years ago. Artists are the weather vane of society; we really should learn to pay attention to them.
9) Bottom line. I still bloody love this film. I'm trying to work out if I have the requisite strength to revisit the sequels....","david-meldrum","https://www.imdb.com/user/ur32106619/?ref_=tt_urv","22 February 2019","10"
"","","...it is not the spoon that bends, it is only yourself.","https://www.imdb.com/review/rw3283017/?ref_=tt_urv","I remember taking a class in social psychology many years ago. The Joy Luck Club figured prominently in the course. I like the idea of combining movies and theory.
I am now studying metaphysics, and any study of reality begins with René Descartes, the father of modern philosophy. Descartes began his intellectual odyssey with this question: How do we know that there is a reality outside our own minds? We each know that we have experiences, and we can be sure of these experiences; therefore, each of us can be sure that we exist. But how do we know that the internal experiences we have corresponds to objects outside our minds?
This is the whole theme of The Matrix. Watching this film is like studying metaphysics.","lastliberal-853-253708","https://www.imdb.com/user/ur23944958/?ref_=tt_urv","23 July 2015","9"
"","","One of my favorites","https://www.imdb.com/review/rw0509222/?ref_=tt_urv","At first, I wasn't interested in seeing the Matrix. But after hardly hearing any bad reviews for it (and believe me, I hear bad reviews for every movie I enjoy) I decided to give it a try. At first, although I really loved the fights, graphics and characters, the plot confused me. (Anyone confused by the plot at all should go to www.knowthematrix.com and you'll find out everything you could want to know) By the second time I watched it, I really understood it, which made the movie even more enjoyable.
I really loved this movie. Just about every character, good or bad, is very interesting and cool. The acting was excellent. Even though I think this was Keanu Reeves at his best, the best acting jobs were done by Laurence Fishburne (Morpheus) and Carrie-Anne Moss (Trinity). Hugo Weaving did an excellent job as Agent Smith and Joe Pantoliano was great as Cypher as well.
The plot is one of the best movie plots I've seen in a movie. An accountant by day, computer hacker by night guy suddenly finds out that reality as we know it is fake and that we are actually in a giant computer program run by robots (that we created, of course) in order for them to get power. Not only that, but he finds out that he is one who is, according to prophecy, going to put an end to it. The greatest thing is that you learn things just as Neo does, so you can really relate to his character.
My favorite thing about this movie is that no matter how many times you watch it, you will learn more about it. I guarantee this. Some may not like this movie because the plot is too complicated, but I recommend that anyone who enjoys movies should go buy this one right away.","Xophianic","https://www.imdb.com/user/ur0097753/?ref_=tt_urv","2 February 2000","9"
"","","Welcome to the Real World.","https://www.imdb.com/review/rw4125407/?ref_=tt_urv","Without a doubt one of the best and most influential movies of all time, the Matrix is the defining science fiction film of the 1990's and the biggest leap the genre has taken since Stanley Kubrick's 2001: A Space Odyssey and Ridley Scott's Blade Runner. The Matrix is a ground-breaking motion picture that not only raised the bar for all the science-fiction films to come after it but also redefined the action genre with its thrilling action sequences and revolutionary visual effects.
The film tells the story of Thomas Anderson a computer hacker that in the world of hacking goes by the alias of Neo. When he is contacted by the mysterious outlaw Morpheus and having always questioned his reality, he is awakened to the truth that the world he's been living in is a simulated reality called the Matrix and that he's nothing more than a slave in this dystopian world, created and controlled by A.I powered machines.
The direction and script by the Wachowskis is fantastic, as they drew ideas and inspirations from every other great sci-fi and cyberpunk movie and anime before the film, combining it with stunning action and putting it into one picture that has enough style, substance and subtext that everyone ended up giving their own interpretation of the story. The research that went into the preparation of the screenplay is quite extensive but the manner in which it is presented on the big screen is also very impressive. Every character presented on the film, has a well-defined arc and a purpose, and their motivations are clear.
The cinematography is impeccable. It was very innovative in the use of the camera angles and movements, the zooms, the slow-motion captures and the different color palette used to differentiate the Matrix and the real World. The editing is flawless, as it makes sure that every scene is integral to the story and ensures the pace of the film stays ferocious through its entire runtime. Each frame is also packed with so much visual information for the viewer to devour. The visual effects introduced us to the bullet-time effect and their impact can still be felt in today's movies. The performances are also incredible. Each member of the cast gave their best performances and brought the characters they portray to life, but the one that stands out the most is Hugo Weaving's disciplined rendition of his character, Agent Smith; a powerful computer program made to search and destroy the human rebellion, in undoubtedly the greatest performance in his career.
In conclusion The Matrix is a masterpiece everyone should see. It is one of the most thought provoking, inventive, pioneering, influential and stylish movies of all time and it's also full of philosophical and religious allegories waiting for interpretation. Immortal for its contribution to cinema and pop culture, its brilliant combination of inventive visual effects, excellent vision and exquisite action easily makes it one of the best, most influential and most entertaining movies ever made.","notoriousCASK","https://www.imdb.com/user/ur31221670/?ref_=tt_urv","11 April 2018","10"
"","","Still hip as heck even after 20 years","https://www.imdb.com/review/rw6138670/?ref_=tt_urv","You name it. Technology, CGI, flow of the story, the concept, action, romance, style, music,... everything you want is realized in this movie to the level of perfection. The scene where Neo and Trinity go to the virtual reality to save Morpheus is so fashionable that I screamed. The camera angle, costume, music, and the gunfights.. all these qualities shine the heroes. The entertainment value of this movie should not be overlooked because of its high quality and philosophy.
I can see how much research Wachowski sisters put in to make their imaginations and concepts realized in the two-hour movie in plausible ways. How is dystopian future and present is connected? How does dream within a dream work? All the questions about their imaginary world is answered because they pay attention to details and they explain every existence and terms with logic one step at a time. There is no leap of logic, very tightly well-woven script.
Their concept is not just future or imaginary anymore. In 2020, we see AI taking over many of works and jobs that humans used to do and invading privacy. Virtual reality games gain popularity over time, and you see Neo everywhere who adapts quickly in the Internet world and learn the combat game so fast and naturally.
The impact of 'The Matrix' in the movie industry is more than imaginable. Of course, revolutionary visual effects with elaborated CGI techniques created iconic bullet-dodging scene of Neo. Because the Matrix system in the movie is kindly well-explained, it widens a scale of sci-fi genre. Hunger Games, Inception, Eagle Eye, Wall-E, and so many other movies that followed benefited from this epic work.","TaylorYee94","https://www.imdb.com/user/ur102296684/?ref_=tt_urv","1 October 2020","10"
"","","What is the Matrix? Well, one of the best films ever, for one thing...","https://www.imdb.com/review/rw0509734/?ref_=tt_urv","The Matrix...when I first heard about it, I expected just another sci-fi action thriller. Good and filled with insane stunts, but not terribly intelligent.
Boy, was I wrong. Oh, the stunts are there in spades, all right, and yes, they are awesome. And the special effects are absolutely amazing (even if similar ones have been used in other movies as a result- and not explained as well).
But the movie has plot as well. It has characters that I cared about. From Keanu Reeves' excellent portrayal of Neo, the man trying to come to grips with his own identity, to Lawrence Fishburne's mysterious Morpheus, and even the creepy Agents, everyone does a stellar job of making their characters more than just the usual action ""hero that kicks butt"" and ""cannon fodder"" roles. I cared about each and every one of the heroes, and hated the villains with a passion. It has a plot, and it has a meaning...and lo and behold, a plot does help the fight scenes! Just try it, if you haven't seen the movie before. Watch one of the fight scenes. Then watch the whole movie. There's a big difference in the feeling and excitement of the scenes- sure, they're great as standalones, but the whole thing put together is an experience unlike just about everything else that's come to the theaters. Think about it next time you're watching one of the more brainless action flicks...think how much better it COULD be.
All I can say is WATCH THIS MOVIE. If you haven't, you're missing out on one of the best films of all time. It isn't just special effects, folks.","SdrolionGM","https://www.imdb.com/user/ur1084015/?ref_=tt_urv","3 March 2001",""
"","","The benchmark for all sci-fi films to come","https://www.imdb.com/review/rw0509571/?ref_=tt_urv","The story of a reluctant Christ-like protagonist set against a baroque, MTV backdrop, The Matrix is the definitive hybrid of technical wizardry and contextual excellence that should be the benchmark for all sci-fi films to come.
Hollywood has had some problems combining form and matter in the sci-fi genre. There have been a lot of visually stunning works but nobody cared about the hero. (Or nobody simply cared about anything.) There a few, though, which aroused interest and intellect but nobody 'ooh'-ed or 'aah'-ed at the special effects. With The Matrix, both elements are perfectly en sync. Not only did we want to cheer on the heroes to victory, we wanted them to bludgeon the opposition. Not only did we sit in awe as Neo evaded those bullets in limbo-rock fashion, we salivated.
But what makes The Matrix several cuts above the rest of the films in its genre is that there are simply no loopholes. The script, written by the Wachowski brothers is intelligent but carefully not geeky. The kung-fu sequences were deftly shot -- something even Bruce Lee would've been proud of. The photography was breathtaking. (I bet if you had to cut every frame on the reel and had it developed and printed, every single frame would stand on its own.) And the acting? Maybe not the best Keanu Reeves but name me an actor who has box-office appeal but could portray the uneasy and vulnerable protagonist, Neo, to a T the way Reeves did. But, come to think of it, if you pit any actor beside Laurence Fishburne, you're bound to confuse that actor for bad acting. As Morpheus, Mr. Fishburne is simply wicked! Shades of his mentor-role in Higher Learning, nobody exudes that aura of quiet intensity than Mr. Fishburne. His character, battle-scarred but always composed Morpheus, is given an extra dose of mortality (He loves Neo to a fault.) only Mr. Fishburne can flesh out.
People will say what they want to say about how good The Matrix is but the bottomline is this: finally there's a philosophical film that has cut through this generation. My generation. The Wachowski brothers probably scribbled a little P.S. note when they finished the script saying: THINK FOR A MOMENT ABOUT YOUR EXISTENCE. What is the Matrix, you ask? Something that's closer to reality than you think.
Either that or it's my personal choice for best film of all-time.","mambubukid","https://www.imdb.com/user/ur0540275/?ref_=tt_urv","19 September 2000","10"
"","","The world of computers","https://www.imdb.com/review/rw7647999/?ref_=tt_urv","Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.
This was excellent beginning to the franchise and probably the only good film out of the trilogy. T
The CGI was awesome, the fight scenes were cool and the acting was.
Do watch this.","WeAreLive","https://www.imdb.com/user/ur79460801/?ref_=tt_urv","15 December 2021","10"
"","","Looks so fresh even today","https://www.imdb.com/review/rw7670438/?ref_=tt_urv","I had watched this movie in bits and pieces many times but today I decided to watch it and God it blew me away. The Wachowskis did an Inception level movie in 1999. The cinematography, wacky music and especially the dialogues were top notch. The introductory scenes of Neo looked a bit odd but that won't stop me from giving a 10.","cerelacholmes","https://www.imdb.com/user/ur132568726/?ref_=tt_urv","22 December 2021","10"
"","","I seriously know what the matrix is.","https://www.imdb.com/review/rw7691659/?ref_=tt_urv","The Matrix
Rated M
Runtime: 136 Mins (2 hours 16 Minutes)
Main Storyline: Have you ever had a dream that you were so sure was real? What if you couldn't awaken? How would you know the difference between dream and reality? When a beautiful stranger (Carrie-Anne Moss) leads computer hacker Neo (Keanu Reeves) to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. Neo joins legendary and dangerous rebel warrior Morpheus (Laurence Fishburne) in the battle to destroy the illusion enslaving humanity.
The Directors: The Wachowskis did really cool directing in this movie. He also directed the sequels including ""The Matrix Reloaded"", ""The Matrix Revolutions"" and ""The Matrix Resurrections""
The Actors: there cool actors are Keanu Reeves, Laurence Fishbourne, Carrie-Anne Moss and Australia's Hugo Weaving did cool acting like iconic Characters.
It's a Live-Action Movie
It's got Action and Sci-Fi in it
I enjoyed watching the movie when I was 9 but it's really cool
I love this movie because it's got Cyberpunk style, kung-fu fight scenes and Shooting Sprees. My Favourite Character is Neo because he's really cool.
This is one of my Favourite movies of all time
I give it 10/10
Thanks for Reading
Now Available to Buy on 4K / Blu-Ray / DVD / iTunes and Google Play.","samconlan94","https://www.imdb.com/user/ur51584111/?ref_=tt_urv","27 December 2021","10"
"","","Wow! I Finally Saw It!","https://www.imdb.com/review/rw5071966/?ref_=tt_urv","This is one of those movies that ""everyone"" has seen, except me. I tried to watch it with some friends about fifteen years ago, but they had two kids under five years old and I was only able to ingest it in five minute increments. So a friend lent me the video and I finally got a chance to see it. It's a pretty remarkable film. The premise of an alternative reality works here where it often fails. Keanu Reeves is a sort of messiah, not by his own choosing originally. He has been attacked and abused by men in sunglasses whom, we find out later, are a part of a representation of Artificial Intelligence. The side Neo ends up on are the original humans whose ranks have been nearly driven to extinction. Laurence Fishburne is the leader of the rebels and he believes the the Reeves character is ""the One."" I thoroughly enjoyed it but would have like a little more creative final scene. Too many shell casings. Apparently, weaponry didn't advance much in twenty years. But, it keeps one on edge with its special effects and its non-stop action.","Hitchcoc","https://www.imdb.com/user/ur0278527/?ref_=tt_urv","20 August 2019","9"
"The Matrix","https://www.imdb.com/title/tt0133093/?ref_=tt_urv","Just wow","https://www.imdb.com/review/rw5228002/?ref_=tt_urv","When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.","acedj","https://www.imdb.com/user/ur96416540/?ref_=tt_urv","1 November 2019","10"
"","","Benchmark forever.","https://www.imdb.com/review/rw6139973/?ref_=tt_urv","The Matrix - 1999
This was a real change in filmmaking. Like watching it again in 2020, i.e. after 21 years and it still feels fresh. Iconic scenes are still having benchmarks setting up.
If we say it sci-fi at its best, it won't be wrong. The hype was real, it is still not easy to match the level of Matrix where we experience the connection of humans and science, that too with amazing action fight and chase scenes, not just normal scenes they were, multiple exposures, slow motion 3D moves, Oh My God, and it's understandable as well like what are the characters up to and what storyline they are entering into. The script was very well written and executed otherwise it could have been a mess. A special appreciation in managing the theme with those black color costumes and a scientific zone with unimaginable equipment and props doing unbelievable things in the two worlds created. No spoilers, but the action scenes in the climax where the protagonist goes to save someone from agents are really breathtaking. The technology used at its best.
A salute to Wachowski Brothers and the team for creating this masterpiece. It will be a great competition and motivation as well for many films coming in the future.","suryanmukul","https://www.imdb.com/user/ur121145920/?ref_=tt_urv","1 October 2020","10"
"","","The timeless classic.","https://www.imdb.com/review/rw6444640/?ref_=tt_urv","This film doesn't age, it will be contemporary even in 2030 or 2040. Wachowski's best one, by far.","xNecRosex","https://www.imdb.com/user/ur29021729/?ref_=tt_urv","4 January 2021","10"
"","","One of the best action sci fi action movies of all time!","https://www.imdb.com/review/rw5503324/?ref_=tt_urv","The film is as well crafted as the matrix itself! On another level entirely to any other science fiction film from the last 20 years . Getting lost in another world, is interly what Cinema is made for. This one takes you into a whole new universe interly .","MrHeraclius","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","23 February 2020",""
"","","a masterpiece","https://www.imdb.com/review/rw3615776/?ref_=tt_urv","and this is all. because each explanation sounds wrong. sure, the acting,, the plot, the fight/action scenes are great. maybe unique. but the essence, for me, remains the basic idea . a fake reality against the pure truth. and the magic as clothes of each character. because it is more than a film. it is a revolution in the way to see a film and to discover reality. you are Neo. and the mythological mix of symbols and cultural references and the simple story who seems have more and more levels are more than fascinating - it is real. sure, Matrix has a lot of reviews and around it is very easy to say hypothesis, verdicts, opinions or, maybe, critics. it is enough to say it is a masterpiece. or the perfect fascinating fairy tale.","Kirpianuscus","https://www.imdb.com/user/ur61197531/?ref_=tt_urv","8 January 2017",""
